age,education_num,occupation,sex,hours_per_week,income,marital_status_Married,marital_status_Never-married,marital_status_Separated,relationship_Husband,relationship_Not-in-family,relationship_Other-relative,relationship_Own-child,relationship_Unmarried,relationship_Wife,workclass_Government,workclass_Not-working,workclass_Private,workclass_Self-employed,workclass_Unknown,capital_net_log
61,10,0.27064732142857145,1,60,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0
51,10,0.4852204408817635,1,60,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
41,13,0.4852204408817635,1,40,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,8.94754601503218
36,9,0.10297356828193832,1,40,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
32,7,0.12461851475076297,1,40,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
63,2,0.2029262086513995,1,40,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.0
47,14,0.13383499059392637,0,38,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,8.94754601503218
35,9,0.0410958904109589,0,40,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0.0
30,10,0.0410958904109589,0,40,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.0
27,2,0.0410958904109589,1,35,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.0
27,9,0.13383499059392637,0,40,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.0
19,7,0.0410958904109589,1,40,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.0
42,7,0.10297356828193832,1,22,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
46,10,0.27064732142857145,1,60,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0
64,16,0.44848935116394256,1,50,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0
23,9,0.061481481481481484,0,40,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.0
53,13,0.13383499059392637,0,38,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0.0
46,10,0.27064732142857145,1,40,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
41,10,0.13383499059392637,0,40,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0
29,8,0.22531017369727047,1,40,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.0
46,15,0.44848935116394256,1,50,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,11.512925464970229
26,10,0.22531017369727047,1,45,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0
36,9,0.4852204408817635,1,40,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.0
44,13,0.4852204408817635,1,50,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,9.617470759403409
40,9,0.22531017369727047,0,40,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.0
58,10,0.4852204408817635,1,50,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0
60,13,0.44848935116394256,0,45,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0
40,9,0.061481481481481484,1,40,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0
57,12,0.11627906976744186,1,40,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.0
24,10,0.13383499059392637,1,40,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,8.895492631451633
50,9,0.32608695652173914,1,38,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
23,13,0.0410958904109589,0,20,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.0
37,11,0.22531017369727047,1,40,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
46,9,0.0410958904109589,0,24,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.0
47,10,0.22531017369727047,1,40,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
36,9,0.12461851475076297,1,56,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.0
50,14,0.3048245614035088,1,40,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0
51,9,0.13383499059392637,0,40,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,8.94754601503218
47,10,0.4852204408817635,1,80,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0
46,9,0.22531017369727047,1,40,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
27,13,0.3048245614035088,0,40,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.0
27,9,0.27064732142857145,1,65,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0
52,13,0.12461851475076297,1,40,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
33,14,0.44848935116394256,1,50,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
47,13,0.27064732142857145,1,70,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
47,3,0.12461851475076297,1,40,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.0
43,10,0.11627906976744186,1,84,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0
23,10,0.27064732142857145,0,15,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.0
33,10,0.27064732142857145,1,26,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.0
30,13,0.3048245614035088,0,16,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0
39,13,0.44848935116394256,1,40,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
37,9,0.22531017369727047,1,40,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
45,9,0.22531017369727047,1,40,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
28,10,0.061481481481481484,1,40,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.0
60,9,0.0410958904109589,1,40,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
40,9,0.27064732142857145,1,45,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,8.895492631451633
37,9,0.12461851475076297,0,40,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.0
28,12,0.4852204408817635,1,65,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.0
53,13,0.4852204408817635,1,40,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,-7.789868559054706
37,13,0.4852204408817635,1,40,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,8.552367266423891
40,9,0.12461851475076297,1,45,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
50,13,0.13383499059392637,0,40,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0
27,9,0.27064732142857145,1,40,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
43,13,0.4852204408817635,1,40,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,8.895492631451633
64,15,0.44848935116394256,1,9,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0
28,9,0.11627906976744186,1,70,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0
47,11,0.0410958904109589,1,26,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
63,13,0.10297356828193832,0,40,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0.0
26,13,0.13383499059392637,1,40,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.0
36,6,0.061481481481481484,1,40,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.0
63,9,0.0410958904109589,1,20,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,7.855932199718614
63,11,0.4852204408817635,1,40,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0
60,9,0.11627906976744186,1,25,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0
17,7,0.27064732142857145,1,5,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.0
39,14,0.44848935116394256,1,40,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,8.895492631451633
46,14,0.22531017369727047,1,50,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0
44,11,0.22531017369727047,1,48,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.0
55,14,0.27064732142857145,1,50,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
43,10,0.3048245614035088,0,72,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,-7.388946097618437
60,11,0.4852204408817635,1,60,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0
35,13,0.27064732142857145,1,52,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
57,10,0.12461851475076297,0,40,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.0
33,13,0.13383499059392637,1,60,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
25,9,0.12461851475076297,1,40,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
42,13,0.4852204408817635,1,48,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0
55,13,0.44848935116394256,1,40,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
48,10,0.32608695652173914,1,42,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0
34,9,0.13383499059392637,1,40,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
28,10,0.4852204408817635,1,60,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-7.4205789054108005
41,3,0.13383499059392637,1,40,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
17,6,0.0410958904109589,1,8,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.0
43,13,0.4852204408817635,1,40,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,9.06126014896203
23,10,0.27064732142857145,1,36,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.0
60,13,0.4852204408817635,0,35,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0.0
53,14,0.4852204408817635,1,40,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
37,10,0.2029262086513995,1,55,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0
53,9,0.13383499059392637,0,38,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,-7.537430036586509
22,10,0.44848935116394256,1,50,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.0
47,9,0.22531017369727047,1,60,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
38,9,0.27064732142857145,0,24,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0
31,13,0.13383499059392637,1,40,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,9.06126014896203
68,13,0.4852204408817635,1,45,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,9.906084178383393
34,9,0.061481481481481484,1,40,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.0
54,10,0.27064732142857145,1,40,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0
49,14,0.4852204408817635,1,45,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
56,13,0.27064732142857145,1,45,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,8.94754601503218
74,10,0.10297356828193832,0,12,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0.0
40,5,0.10297356828193832,0,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.0
36,9,0.22531017369727047,1,40,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
51,9,0.22531017369727047,1,40,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
25,14,0.44848935116394256,0,40,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.0
22,10,0.10297356828193832,0,28,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0
43,14,0.32608695652173914,1,35,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0
48,10,0.4852204408817635,1,40,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
38,10,0.13383499059392637,0,35,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0
25,13,0.27064732142857145,1,40,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
46,16,0.44848935116394256,1,55,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,-7.789868559054706
60,9,0.2029262086513995,1,44,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
43,14,0.44848935116394256,0,40,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0
55,9,0.061481481481481484,1,40,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,-7.543273346705446
32,10,0.4852204408817635,1,50,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,9.617470759403409
42,9,0.27064732142857145,0,30,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.0
22,13,0.44848935116394256,0,20,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0.0
32,13,0.4852204408817635,0,40,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0
26,10,0.27064732142857145,1,42,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.0
56,9,0.4852204408817635,1,48,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0
46,9,0.10297356828193832,0,15,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0.0
29,13,0.27064732142857145,1,45,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,8.04044688130311
27,9,0.0410958904109589,1,40,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0
35,10,0.10297356828193832,1,40,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
41,10,0.13383499059392637,0,40,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0
47,16,0.44848935116394256,1,40,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0
33,10,0.4852204408817635,1,50,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
50,14,0.10297356828193832,1,40,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0
28,10,0.061481481481481484,1,40,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
18,10,0.10297356828193832,0,20,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.0
48,10,0.13383499059392637,1,40,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
54,16,0.4852204408817635,0,50,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.0
28,9,0.22531017369727047,1,40,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
27,9,0.22531017369727047,1,50,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,9.165656764349542
47,10,0.13383499059392637,0,50,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.0
52,13,0.3048245614035088,1,40,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,8.94754601503218
43,15,0.44848935116394256,1,50,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0
30,13,0.44848935116394256,1,40,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.0
62,13,0.44848935116394256,1,55,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
29,9,0.0410958904109589,1,40,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.0
45,13,0.4852204408817635,1,72,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
26,7,0.22531017369727047,1,40,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
39,13,0.44848935116394256,0,50,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0
32,13,0.27064732142857145,1,55,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,8.94754601503218
52,6,0.22531017369727047,1,35,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0
41,9,0.27064732142857145,0,50,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.0
30,14,0.44848935116394256,0,50,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0
23,14,0.27064732142857145,0,20,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.0
30,12,0.13383499059392637,0,40,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0.0
43,9,0.22531017369727047,1,40,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
32,13,0.4852204408817635,1,50,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
51,13,0.44848935116394256,1,70,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
52,11,0.0410958904109589,1,32,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.0
28,13,0.44848935116394256,1,60,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0.0
33,9,0.22531017369727047,1,40,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.0
25,9,0.2029262086513995,1,40,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
34,9,0.0410958904109589,1,50,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0
60,10,0.27064732142857145,1,40,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
25,13,0.13383499059392637,0,40,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.0
29,14,0.44848935116394256,1,40,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0.0
33,14,0.4852204408817635,0,50,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,9.552865680310473
49,9,0.22531017369727047,1,45,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,8.04044688130311
50,13,0.44848935116394256,0,24,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0
75,10,0.10297356828193832,1,8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
47,12,0.22531017369727047,1,65,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,-7.422373700986824
28,10,0.22531017369727047,1,40,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,8.895492631451633
51,14,0.27064732142857145,1,50,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,9.617470759403409
37,9,0.12461851475076297,0,40,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.0
24,9,0.22531017369727047,1,40,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
29,9,0.13383499059392637,1,40,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
61,14,0.44848935116394256,0,40,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.0
47,13,0.27064732142857145,1,40,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0
55,16,0.4852204408817635,1,80,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
40,9,0.2029262086513995,0,40,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.0
55,10,0.3048245614035088,1,40,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
26,9,0.22531017369727047,0,40,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.0
26,9,0.27064732142857145,1,36,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
54,13,0.4852204408817635,0,35,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,-7.589841512182657
63,13,0.27064732142857145,1,30,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0
74,16,0.44848935116394256,1,25,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0.0
46,13,0.27064732142857145,1,55,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0
32,7,0.006993006993006993,0,40,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.0
38,13,0.44848935116394256,1,50,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0
60,10,0.2029262086513995,1,40,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
31,10,0.4852204408817635,0,32,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0.0
65,13,0.4852204408817635,1,40,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
35,10,0.4852204408817635,1,36,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
56,10,0.13383499059392637,0,40,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0.0
23,4,0.0410958904109589,1,25,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.0
38,9,0.0410958904109589,0,25,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.0
46,9,0.27064732142857145,0,40,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0
29,13,0.44848935116394256,0,40,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,9.06126014896203
49,13,0.27064732142857145,1,40,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,9.617470759403409
37,9,0.13383499059392637,1,40,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
42,9,0.12461851475076297,0,40,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.0
44,14,0.44848935116394256,1,40,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0
31,4,0.12461851475076297,0,40,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.0
30,14,0.4852204408817635,1,60,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,9.617470759403409
56,13,0.27064732142857145,1,50,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,9.617470759403409
43,10,0.27064732142857145,1,40,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,8.04044688130311
24,9,0.0410958904109589,0,35,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.0
39,15,0.44848935116394256,0,60,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,8.94754601503218
21,10,0.3048245614035088,1,16,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,-7.3796321526095525
44,13,0.4852204408817635,1,60,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0.0
45,13,0.32608695652173914,0,40,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.0
26,9,0.27064732142857145,1,50,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
35,12,0.3048245614035088,1,40,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
23,9,0.27064732142857145,1,40,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.0
25,10,0.4852204408817635,0,40,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0
40,13,0.27064732142857145,1,55,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
24,10,0.13383499059392637,0,17,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.0
47,15,0.4852204408817635,1,40,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,11.512925464970229
18,8,0.061481481481481484,1,20,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.0
51,10,0.27064732142857145,1,50,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0
35,9,0.11627906976744186,1,50,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,-7.422373700986824
36,10,0.27064732142857145,1,40,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
60,6,0.12461851475076297,0,40,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.0
